code,description,category
Z98.871,Personal history of in utero procedure while a fetus,General
B95.0,"Streptococcus, group A, as the cause of diseases classified elsewhere",General
F52.5,Vaginismus not due to a substance or known physiological condition,General
F52.6,Dyspareunia not due to a substance or known physiological condition,General
F98.0,Enuresis not due to a substance or known physiological condition,General
F98.1,Encopresis not due to a substance or known physiological condition,General
J09.X1,Influenza due to identified novel influenza A virus with pneumonia,General
N02.B3,Recurrent and persistent immunoglobulin A nephropathy with diffuse membranoproliferative glomerulonephritis,General
N02.B4,Recurrent and persistent immunoglobulin A nephropathy with diffuse membranous glomerulonephritis,General
N02.B6,Recurrent and persistent immunoglobulin A nephropathy with diffuse mesangiocapillary glomerulonephritis,General
O36.1111,"Maternal care for Anti-A sensitization, first trimester, fetus 1",General
O36.1112,"Maternal care for Anti-A sensitization, first trimester, fetus 2",General
O36.1113,"Maternal care for Anti-A sensitization, first trimester, fetus 3",General
O36.1114,"Maternal care for Anti-A sensitization, first trimester, fetus 4",General
O36.1115,"Maternal care for Anti-A sensitization, first trimester, fetus 5",General
O36.1119,"Maternal care for Anti-A sensitization, first trimester, other fetus",General
O36.1121,"Maternal care for Anti-A sensitization, second trimester, fetus 1",General
O36.1122,"Maternal care for Anti-A sensitization, second trimester, fetus 2",General
O36.1123,"Maternal care for Anti-A sensitization, second trimester, fetus 3",General
O36.1124,"Maternal care for Anti-A sensitization, second trimester, fetus 4",General
O36.1125,"Maternal care for Anti-A sensitization, second trimester, fetus 5",General
O36.1129,"Maternal care for Anti-A sensitization, second trimester, other fetus",General
O36.1131,"Maternal care for Anti-A sensitization, third trimester, fetus 1",General
O36.1132,"Maternal care for Anti-A sensitization, third trimester, fetus 2",General
O36.1133,"Maternal care for Anti-A sensitization, third trimester, fetus 3",General
O36.1134,"Maternal care for Anti-A sensitization, third trimester, fetus 4",General
O36.1135,"Maternal care for Anti-A sensitization, third trimester, fetus 5",General
O36.1139,"Maternal care for Anti-A sensitization, third trimester, other fetus",General
O36.1191,"Maternal care for Anti-A sensitization, unspecified trimester, fetus 1",General
O36.1192,"Maternal care for Anti-A sensitization, unspecified trimester, fetus 2",General
O36.1193,"Maternal care for Anti-A sensitization, unspecified trimester, fetus 3",General
O36.1194,"Maternal care for Anti-A sensitization, unspecified trimester, fetus 4",General
O36.1195,"Maternal care for Anti-A sensitization, unspecified trimester, fetus 5",General
O36.1199,"Maternal care for Anti-A sensitization, unspecified trimester, other fetus",General
T50.A26S,"Underdosing of mixed bacterial vaccines without a pertussis component, sequela",General
T81.41XA,"Infection following a procedure, superficial incisional surgical site, initial encounter",General
T81.41XD,"Infection following a procedure, superficial incisional surgical site, subsequent encounter",General
T81.42XA,"Infection following a procedure, deep incisional surgical site, initial encounter",General
T81.42XD,"Infection following a procedure, deep incisional surgical site, subsequent encounter",General
T81.43XS,"Infection following a procedure, organ and space surgical site, sequela",General
T81.72XS,"Complication of vein following a procedure, not elsewhere classified, sequela",General
W44.A0XS,"Battery unspecified, entering into or through a natural orifice, sequela",General
W44.A1XS,"Button battery entering into or through a natural orifice, sequela",General
W44.A9XS,"Other batteries entering into or through a natural orifice, sequela",General
W44.B1XS,"Plastic bead entering into or through a natural orifice, sequela",General
W44.B2XS,"Plastic coin entering into or through a natural orifice, sequela",General
W44.B4XS,"Plastic jewelry entering into or through a natural orifice, sequela",General
W44.B5XS,"Plastic bottle entering into or through a natural orifice, sequela",General
W44.C0XS,"Glass unspecified, entering into or through a natural orifice, sequela",General
W44.C1XS,"Sharp glass entering into or through a natural orifice, sequela",General
W44.C2XS,"Intact glass entering into or through a natural orifice, sequela",General
W44.F1XA,"Bezoar entering into or through a natural orifice, initial encounter",General
W44.F1XD,"Bezoar entering into or through a natural orifice, subsequent encounter",General
W44.F2XS,"Rubber band entering into or through a natural orifice, sequela",General
W44.F3XA,"Food entering into or through a natural orifice, initial encounter",General
W44.F3XD,"Food entering into or through a natural orifice, subsequent encounter",General
W44.F4XA,"Insect entering into or through a natural orifice, initial encounter",General
W44.F4XD,"Insect entering into or through a natural orifice, subsequent encounter",General
W44.G1XS,"Audio device entering into or through a natural orifice, sequela",General
W44.H1XA,"Needle entering into or through a natural orifice, initial encounter",General
W44.H1XD,"Needle entering into or through a natural orifice, subsequent encounter",General
X80.XXXS,"Intentional self-harm by jumping from a high place, sequela",General
Y35.832S,"Legal intervention involving a conducted energy device, bystander injured, sequela",General
Y35.833S,"Legal intervention involving a conducted energy device, suspect injured, sequela",General
