genericName,brandName,dosageForm,strength,classification
"Avobenzone, Homosalate, Octisalate, Octocrylene",Sunny Defense SPF Stick,STICK,.4875 g/19.5g,General
Zinc Oxide,AXIS-Y Complete No-Stress Physical Sunscreen V.3,CREAM,17 g/50mL,General
Promethazine Hydrochloride,Promethazine Hydrochloride,INJECTION,25 mg/mL,General
Salicylic acid,Wart Remover Pads,PATCH,.4 g/1,General
Carboxymethylcellulose sodium,EYE DROPS,LIQUID,.25 g/100mL,General
TITANIUM DIOXIDE,EELHOE Matte Sun Stick,CREAM,.0036 mg/18mg,General
"HOMOSALATE, OCTOCRYLENE, OCTISALATE, AVOBENZONE",Poolside Golden Hour SPF 15 Sunscreen Lip,OIL,30 mg/mL,General
Salicylic acid 1% WART REMOVER,DERMFREE WART REMOVER,PATCH,1 g/1001,General
Minoxidil,NALIOPI 5% minoxidil with biotin topical solution,LIQUID,.002 g/mL,General
"Tolnaftate,Clotrimazole",Tagrid Antifungal Kit,KIT,N/A,General
Zinc Oxide,Tinted Mineral Sunscreen,CREAM,200 mg/g,General
Amoxicillin and Clavulanate Potassium,Amoxicillin and Clavulanate Potassium,"POWDER, FOR SUSPENSION",400 mg/5mL,General
UREA,UREVEX,CREAM,200 mg/g,General
Perphenazine,Perphenazine,"TABLET, FILM COATED",16 mg/1,General
Isopropyl Alcohol,Stone Hand Sanitizer,SPRAY,72 mL/100mL,General
"Belladonna, Calendula, Echinacea, Hydrastis, Mullein oil, Viola odorata",BM Natural Mullein Ear,SOLUTION/ DROPS,10 [hp_X]/mL,General
Tattoo care cream,Tattoo care,CREAM,6 g/100g,General
Promethazine Hydrochloride,Promethazine Hydrochloride,TABLET,25 mg/1,General
"Homosalate 7.5%, Octisalate 5.00%, Avobenzone 3.00%",Hampton Sun SPF50 Mineral Face Sunscreen,STICK,14.69 g/100g,General
Dimethicone,BEVERLY HILLS MD HYDRARESCUE TREATMENT,CREAM,3 g/100g,General
"Titanium Dioxide, Zinc Oxide",ANTI-AGING NON-TINTED SUNSCREEN,CREAM,80 mg/g,General
Sodium Chloride,SALINE CLEANING,SOLUTION,9 g/1000mL,General
Titanium Dioxide,bareMinerals BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20 Maple 24.5,LIQUID,33.2 mg/mL,General
lithium carbonate,lithium carbonate,POWDER,1 kg/kg,General
icosapent ethyl,icosapent ethyl,CAPSULE,1000 mg/1,General
telotristat ethyl,telotristat ethyl,TABLET,250 mg/1,General
acetaminophen,acetaminophen,POWDER,1 kg/kg,General
Tetracycline Hydrochloride,Tetracycline Hydrochloride,CAPSULE,250 mg/1,General
Ivermectin,Ivermectin,POWDER,1 kg/kg,General
Calcium Carbonate,Calcium Carbonate,POWDER,.9 kg/kg,General
CARVEDILOL PHOSPHATE,CARVEDILOL PHOSPHATE,POWDER,15 kg/15kg,General
Cromolyn Sodium,Cromolyn Sodium,POWDER,1 kg/kg,General
Abaloparatide,Abaloparatide,POWDER,1 g/g,General
Cocarboxylase tetrahydrate,Cocarboxylase tetrahydrate,POWDER,5 kg/5kg,General
Prucalopride Succinate,Prucalopride Succinate,POWDER,75 kg/75kg,General
Tretinoin,Tretinoin,POWDER,1 kg/kg,General
furosemide,Furosemide,TABLET,40 mg/1,General
Dienogest,Dienogest,POWDER,1 kg/kg,General
NYSTATIN,Nystatin,SUSPENSION,100000 [USP'U]/mL,General
Butalbital,Butalbital,POWDER,1 g/g,General
Chlamydia Trachomatis,Chlamydia Trachomatis,LIQUID,10 [hp_M]/mL,General
Helicobacter Pylori,Helicobacter Pylori,LIQUID,1 [hp_M]/mL,General
Desmopressin,Desmopressin,POWDER,20 g/20g,General
Methazolamide,Methazolamide,POWDER,15 kg/15kg,General
Phentolamine Mesylate,Phentolamine Mesylate,POWDER,1 kg/kg,General
ESTRADIOL,ESTRADIOL,POWDER,1 kg/kg,General
AMINOLEVULINIC ACID,AMINOLEVULINIC ACID,POWDER,50 kg/50kg,General
Pitolisant hydrochloride,Pitolisant hydrochloride,"TABLET, FILM COATED",4.45 mg/1,General
Doravirine SDI,Doravirine SDI,POWDER,1 kg/kg,General
Acetaminophen,Acetaminophen,POWDER,1 kg/kg,General
Triamcinolone Acetonide,Triamcinolone Acetonide,POWDER,1 g/g,General
RIVAROXABAN,RIVAROXABAN,POWDER,1 kg/kg,General
Suvorexant,Suvorexant,POWDER,1 kg/kg,General
Pyrantel Pamoate,Pyrantel Pamoate,GRANULE,720.5 mg/.0015kg,General
Vacation Arizona Lip Balm,Vacation Arizona Lip Balm,STICK,.03 g/g,General
Flecainide Acetate,Flecainide Acetate,POWDER,1 kg/kg,General
Diltiazem Hydrochloride,Diltiazem Hydrochloride,"CAPSULE, EXTENDED RELEASE",300 mg/1,General
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE,POWDER,1 g/g,General
SODIUM SALICYLATE,SODIUM SALICYLATE,POWDER,1 kg/kg,General
Selumetinib Sulfate,Selumetinib Sulfate,POWDER,1 kg/kg,General
Dexlansoprazole Sesquihydrate,Dexlansoprazole Sesquihydrate,POWDER,1 kg/kg,General
Chlorpheniramine Maleate,Chlorpheniramine Maleate,POWDER,1 g/g,General
FUTIBATINIB,FUTIBATINIB,TABLET,4 mg/1,General
norethindrone acetate/ethinyl estradiol,norethindrone acetate/ethinyl estradiol,KIT,N/A,General
ERYTHROPOIETIN,ERYTHROPOIETIN,SOLUTION,40000 [iU]/mL,General
Potassium Bromide,Potassium Bromide,CRYSTAL,5 kg/5kg,General
Phenytoin,Dilantin Infatabs,"TABLET, CHEWABLE",50 mg/1,General
Aluminum Chlorohydrate,AVON Sweet Honesty Roll-On Anti-Perspirant Deodorant,STICK,145 mg/mL,General
Rasagiline Mesylate,Rasagiline Mesylate,POWDER,1 kg/kg,General
BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,POWDER,1 kg/kg,General
TROPICAMIDE,TROPICAMIDE,POWDER,1 kg/kg,General
CANNABIDIOL,CANNABIDIOL,POWDER,1 kg/kg,General
Dydrogesterone,Dydrogesterone,POWDER,35 kg/35kg,General
Cyclophosphamide,Cyclophosphamide,POWDER,1 kg/kg,General
Lifitegrast,Lifitegrast,POWDER,1 kg/kg,General
Guaifenesin,Guaifenesin,"TABLET, EXTENDED RELEASE",600 mg/1,General
Metformin Hcl,Metformin Hcl,POWDER,500 mg/kg,General
"Acetaminophen, Guaifenesin, and Phenylephrine hydrochloride","Acetaminophen, Guaifenesin, and Phenylephrine hydrochloride","TABLET, FILM COATED",325 mg/1,General
"ACTIVATED CHARCOAL, SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE, and STRYCHNOS NUX-VOMICA SEED","ACTIVATED CHARCOAL, SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE, and STRYCHNOS NUX-VOMICA SEED",TABLET,30 [hp_C]/1,General
clopidogrel bisulfate,clopidogrel bisulfate,"TABLET, FILM COATED",75 mg/1,General
OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,OIL,1 kg/kg,General
Dupilumab,Dupilumab,"INJECTION, SOLUTION",175 mg/mL,General
Anastrozole,Anastrozole,POWDER,1 kg/1,General
Deutetrabenazine,Deutetrabenazine,POWDER,1 kg/kg,General
Long R3 IGF-1,Long R3 IGF-1,POWDER,10 mg/10mg,General
rozanolixizumab,rozanolixizumab,LIQUID,1 kg/kg,General
Amlodipine Besylate,Amlodipine Besylate,POWDER,1 kg/kg,General
GRANISETRON BASE,GRANISETRON BASE,POWDER,1 kg/kg,General
MOLYBDENUM MO-99,MOLYBDENUM MO-99,SOLUTION,17.4 GBq/mL,General
leuprolide acetate,Lupron Depot,KIT,N/A,General
pantoprazole sodium,pantoprazole sodium,POWDER,1 kg/kg,General
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,Ban Invisible Solid Antiperspirant Deodorant Powder Fresh,STICK,13.87 g/73g,General
Sulfamethoxazole,Sulfamethoxazole,POWDER,1 kg/kg,General
Fluconazole,Fluconazole,TABLET,100 mg/1,General
Alprazolam,Alprazolam,"TABLET, EXTENDED RELEASE",3 mg/1,General
Zolmitriptan,Zolmitriptan,POWDER,50 kg/50kg,General
Iron Sucrose,Iron Sucrose,POWDER,1 kg/kg,General
Valganciclovir Hydrocholoride,Valganciclovir Hydrocholoride,POWDER,1 kg/kg,General
selumetinib,selumetinib,CAPSULE,10 mg/1,General
Loratadine 10 mg,Loratadine 10 mg,TABLET,10 mg/1,General
Losartan Potassium,Losartan Potassium,POWDER,1 kg/kg,General
BACLOFEN,BACLOFEN,POWDER,1 g/g,General
Water for Injection,Water for Injection,INJECTION,.7 mL/mL,General
Alnus serrulata,Hazel Alder Pollen,SOLUTION,.1 g/mL,General
Artemisia tridentata,Common Sagebrush,SOLUTION,.1 g/mL,General
Ligustrum vulgare,Privet Pollen,SOLUTION,.001 g/mL,General
Pinus taeda,Loblolly Pine Pollen,SOLUTION,.05 g/mL,General
"Ambrosia acanthicarpa, Ambrosia psilostachya",Western Ragweed Mix,SOLUTION,.0166666 g/mL,General
Aluminum Sesquichlorohydrate,esika total sec NEUTRAL FRAGRANCE Antiperspirant and deodorant Unisex Roll-on All day extra effective protection,EMULSION,15 g/100mL,General
CACTUS GRANDIFLORUS,CACTUS GRANDIFLORUS,PELLET,3 [hp_X]/1,General
Diphenhydramine HCl,Pharbedryl,CAPSULE,25 mg/1,General
"OCTINOXATE, TITANIUM DIOXIDE",NARS PURE RADIANT TINTED MOISTURIZER Cuzco,CREAM,4.044 g/50mL,General
Amoxicillin and Clavulanate Potassium,Amoxicillin and Clavulanate Potassium,"TABLET, FILM COATED",875 mg/1,General
Icosapent ethyl,ICOSAPENT ETHYL,CAPSULE,1 g/1,General
spironolactone,Spironolactone,"TABLET, FILM COATED",100 mg/1,General
apis mellifera - berberis vulgaris root bark - chelidonium majus - chondrodendron tomentosum root - equisetum hyemale whole - fucus vesiculosus - galium aparine whole - hamamelis virginiana root bark - lycopodium clavatum spore - myosotis arvensis - podophyllum peltatum root - rancid beef - sodium sulfate - solidago virgaurea flowering top - strychnos nux vomica seed - thuja occidentalis leafy twig -,GUNA DEEP CLEANSE,SOLUTION/ DROPS,12 [hp_X]/30mL,General
Atomoxetine,Atomoxetine,CAPSULE,25 mg/1,General
entecavir,BARACLUDE,"TABLET, FILM COATED",.5 mg/1,General
Atorvastatin Calcium,Atorvastatin Calcium,"TABLET, FILM COATED",40 mg/1,General
Dermatophagoides farinae and Dermatophagoides pteronyssinus,Standardized Mite Mix Dermatophagoides farinae and Dermatophagoides pteronyssinus,CONCENTRATE,5000 [AU]/mL,General
Pramipexole dihydrochloride,Pramipexole dihydrochloride,TABLET,.125 mg/1,General
Cholestyramine,Cholestyramine,"POWDER, FOR SUSPENSION",4 g/5.7g,General
Benzalkonium Chloride Liquid,Softsoap Antibacterial with Moisturizers White Tea and Berry LHS,LIQUID,1.33 mg/mL,General
FENOFIBRATE,Fenofibrate,CAPSULE,134 mg/1,General
lomustine,Gleostine,"CAPSULE, GELATIN COATED",100 mg/1,General
glyburide-metformin hydrochloride,glyburide-metformin hydrochloride,TABLET,2.5 mg/1,General
oxycodone hydrochloride,Roxicodone,TABLET,15 mg/1,General
"Camphor, Menthol",MYCO Clinic Pain Relief,STICK,11 g/100g,General
azithromycin monohydrate,Azithromycin,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",500 mg/5mL,General
BENZALKONIUM CHLORIDE,X3 Clean,"AEROSOL, FOAM",1.3 mg/mL,General
Pregabalin,Pregabalin,CAPSULE,75 mg/1,General
Guanfacine,Guanfacine,"TABLET, EXTENDED RELEASE",4 mg/1,General
Magnesium hydroxide,Milk of Magnesia,SUSPENSION,1200 mg/15mL,General
lamivudine,lamivudine,"TABLET, FILM COATED",100 mg/1,General
Cisatracurium Besylate,Cisatracurium Besylate,INJECTION,2 mg/mL,General
Famciclovir,Famciclovir,"TABLET, FILM COATED",125 mg/1,General
Kali Tartaricum,Kali Tartaricum,PELLET,12 [hp_C]/1,General
