genericName,brandName,dosageForm,strength,classification
Everolimus,Everolimus,"TABLET, FOR SUSPENSION",5 mg/1,General
"polyethylene glycol 3350, sodium sulfate, potassium chloride, magnesium sulfate, and sodium chloride for oral solution",SUFLAVE,KIT,N/A,General
minoxidil,MINOXIDIL,TABLET,10 mg/1,General
LACHESIS MUTA VENOM,Lachesis mutus,PELLET,30 [hp_X]/30[hp_X],General
LEDUM PALUSTRE TWIG,Ledum palustre,PELLET,6 [hp_X]/1,General
LYCOPODIUM CLAVATUM SPORE,Lycopodium clavatum,PELLET,6 [hp_C]/6[hp_C],General
Benzalkonium Chloride,Dial Antibacterial Hydrating Chamomile,SOLUTION,.13 g/100mL,General
LIDOCAINE HYDROCHLORIDE,BeardedMoney,CREAM,4 g/100g,General
alcohol,Smart Care Hand Sanitizer Vanilla Heaven,SPRAY,70 mL/100mL,General
Levetiracetam,Levetiracetam,TABLET,1000 mg/1,General
Bupivacaine Hydrochloride,Bupivacaine Hydrochloride,"INJECTION, SOLUTION",7.5 mg/mL,General
DACTINOMYCIN,DACTINOMYCIN,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",.5 mg/mL,General
Metoclopramide,Metoclopramide,TABLET,5 mg/1,General
Benzocaine,Alpha-Caine Topical Anesthetic,GEL,200 mg/g,General
"tetrahydrozoline hydrochloride, zinc sulfate",Medics Choice Eye Drops Seasonal Relief,SOLUTION/ DROPS,.5 mg/mL,General
"Camphor, Menthol, Methyl Salicylate",Sinsin Mulpas,LIQUID,4.5 mg/mL,General
"bacitracin zinc, neomycin sulfate, polymyxin B sulfate, and pramoxine hydrochloride",Triple Antibiotic Plus Pain Relief,OINTMENT,500 [USP'U]/g,General
"Xerophyllum asphodeloides, Aconitum nap., Anacardium orientale, Apis mel., Bryonia, Cantharis, Croton, Graphites, Grindelia, Mezereum, Nux vom., Ranunc. bulb., Rhus toxicodendron, Sarsaparilla, Sulphur, Echinacea, Rumex crisp.,Taraxacum, Urtica ur.",Poison Ivy,PELLET,15 [hp_X]/g,General
"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCL",ANTIGRIP Nighttime,"POWDER, FOR SOLUTION",325 mg/1,General
Chloroxylenol 0.3%,Ultra,LIQUID,3 mg/mL,General
Fluticasone propionate,allergy relief nasal,"SPRAY, METERED",50 ug/1,General
Mirtazapine,Mirtazapine,"TABLET, FILM COATED",15 mg/1,General
Benzalkonium Chloride,XtraCare Foaming Hand Sanitizer,GEL,3 g/207g,General
"octinoxate, octisalate",Foundation Primer Plus SPF 15 MERLE NORMAN,CREAM,2.63 g/35g,General
"Mustard, Hornbeam, Olive",Bach Emotional Ups and Downs Mental Energy Kit,KIT,N/A,General
Prussian blue insoluble capsules,Radiogardase,CAPSULE,500 mg/1,General
"Chimaphila umbellata, Clematis recta flowering top, Populus tremula whole, Anemone pratensis, Saw palmetto, Chondrodendron tomentosum root, Sulfur, Conium maculatum flowering top, and Ferric picrate",D-25,SOLUTION/ DROPS,3 [hp_X]/mL,General
"VISCUM ALBUM WHOLE, CALCIUM FLUORIDE, and ANDROCTONUS AUSTRALIS WHOLE",AM-4,SOLUTION,12 [hp_X]/mL,General
OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO SYNCHRO SKIN SELF-REFRESHING FOUNDATION 530 HENNA,EMULSION,1.69 g/30mL,General
TARAXACUM OFFICINALE,TARAXACUM OFFICINALE,PELLET,200 [kp_C]/200[kp_C],General
BENZALKONIUM CHLORIDE,Babyganics Alcohol-Free Hand Sanitizer Wipes Mandarin,CLOTH,13 mg/100mg,General
SULFUR IODIDE,Sulphur iodatum,PELLET,15 [hp_C]/15[hp_C],General
Acetaminophen,Aurophen Regular Strength,TABLET,325 mg/1,General
brexpiprazole,Rexulti,TABLET,3 mg/1,General
Colchicine,MITIGARE,CAPSULE,.6 mg/1,General
Nebivolol,Nebivolol,TABLET,5 mg/1,General
Esomeprazole Magnesium,Esomeprazole Magnesium,"CAPSULE, DELAYED RELEASE",40 mg/1,General
Naproxen Sodium,Naproxen Sodium,"CAPSULE, LIQUID FILLED",220 mg/1,General
hydrocortisone,Hydrocortisone,TABLET,20 mg/1,General
Cetirizine HCl,allergy relief childrens,SOLUTION,5 mg/5mL,General
Famotidine,Famotidine,"POWDER, FOR SUSPENSION",40 mg/5mL,General
Doxazosin,Doxazosin,TABLET,2 mg/1,General
Pazopanib,Pazopanib,TABLET,200 mg/1,General
Tolterodine,Tolterodine Tartrate,"CAPSULE, EXTENDED RELEASE",4 mg/1,General
Colestipol Hydrochloride,Colestipol Hydrochloride,"TABLET, FILM COATED",1 g/1,General
Hydroxyzine Hydrochloride,Hydroxyzine Hydrochloride,"TABLET, FILM COATED",10 mg/1,General
CHLOROXYLENOL,Simple Hygiene Antibacterial Hand,"AEROSOL, FOAM",5 mg/mL,General
Miconazole Nitrate,Miconazole 7,CREAM,20 mg/g,General
"Octinoxate, Titanium Dioixide, Octisalate",No7 Perfect and Perfect Intense Advanced All in One Foundation SPF 50 Latte,CREAM,1.95 g/30g,General
OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,TABLET,15 mg/1,General
VINCRISTINE SULFATE,VinCRIStine Sulfate,"INJECTION, SOLUTION",1 mg/mL,General
"OCTISALATE, TITANIUM DIOXIDE",FOREVER Transfer-proof - 24h foundation High perfection Concentrated floral skincare with sunscreen Broad spectrum SPF 15 4WO,EMULSION,35 mg/mL,General
Levetiracetam,Levetiracetam,INJECTION,5 mg/mL,General
Alcohol,DD Mart Hand Sanitizer,LIQUID,70 mL/100mL,General
Nortriptyline Hydrochloride,Nortriptyline Hydrochloride,CAPSULE,25 mg/1,General
Valacyclovir Hydrochloride,Valacyclovir Hydrochloride,"TABLET, FILM COATED",1 g/1,General
"DEXTROSE, SODIUM CHLORIDE, and POTASSIUM CHLORIDE",Potassium Chloride in Dextrose and Sodium Chloride,INJECTION,5 g/100mL,General
Sodium Chloride,Sodium Chloride,INJECTION,9 mg/mL,General
Clindamycin Hydrochloride,Clindamycin Hydrochloride,CAPSULE,150 mg/1,General
ZINC OXIDE,Badger SPF 30 Daily Sunscreen,CREAM,18.75 g/100mL,General
Aripiprazole,Aripiprazole,TABLET,5 mg/1,General
"Timolol Maleate Ophthalmic Gel Forming Solution, 0.5%","Timolol Maleate Ophthalmic Gel Forming Solution, 0.5%",SOLUTION/ DROPS,5 mg/mL,General
Hydrocortisone,Cortenema,ENEMA,100 mg/60mL,General
Alcohol,Anti Bacterial Hand Gel Pink Pineapple Sunrise,GEL,71 mL/100mL,General
Alcohol,Anti Bacterial Hand Gel Marshmallow Pumpkin Latte,GEL,71 mL/100mL,General
"Aspirin, Acetaminophen, Caffeine",BC MAX,POWDER,500 mg/1,General
Urinary Tract Drops,Urinary Tract Drops 2122,LIQUID,6 [hp_X]/59mL,General
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",500 mg/1,General
Spongia tosta,Spongia tosta 7136,LIQUID,6 [hp_X]/29.5mL,General
MENTHOL,NATURAL HONEY HERB COUGH SUPPRESSANT THROAT DROPS,LOZENGE,2 mg/1,General
"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",Daytime Cold and Flu Non Drowsy,LIQUID,325 mg/15mL,General
"Arnica montana, Anamirta cocculus, Potassium phosphate, Gelsemium sempervirens, Strychnos nux vomica, Silver nitrate",JetZone Jet Lag Prevention,"TABLET, CHEWABLE",12 [hp_C]/1,General
Pyrithione zinc,Dry Scalp,SHAMPOO,10 mg/mL,General
Doxycycline,Doxycycline,CAPSULE,50 mg/1,General
COLISTIMETHATE SODIUM,Colistimethate,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",150 mg/2mL,General
Azacitidine,Azacitidine,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",100 mg/30mL,General
Bendamustine Hydrochloride,TREANDA,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",25 mg/5mL,General
Aralia Racemosa,Aralia Racemosa,PELLET,1 [hp_M]/1,General
Aurum Muriaticum,Aurum Muriaticum,PELLET,100 [hp_C]/1,General
Cactus Grandiflorus,Cactus Grandiflorus,PELLET,30 [hp_C]/1,General
Aethusa cynapium,Aethusa cynapium,PELLET,200 [hp_C]/1,General
furosemide,Furosemide,TABLET,20 mg/1,General
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, and PHENYLEPHRINE HYDROCHLORIDE",Alka-Seltzer Plus Night Severe Cold and Flu,"POWDER, FOR SOLUTION",650 mg/1,General
Aspirin,Bayer Aspirin Regimen Chewable Low Dose Aspirin Orange,"TABLET, CHEWABLE",81 mg/1,General
PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,TABLET,10 mg/1,General
NAPROXEN SODIUM,Aleve Back and Muscle Pain,TABLET,220 mg/1,General
Alprazolam,Alprazolam,"TABLET, EXTENDED RELEASE",1 mg/1,General
Saxagliptin,Saxagliptin,"TABLET, FILM COATED",2.5 mg/1,General
"Calcarea Fluorica, Calcarea Phosphorica, Silicea","Miranda Castros healing cell salts for bones, hair, nails and teeth Homeopathic Combination",PELLET,6 [hp_X]/1,General
"Leucine, Phenylalanine, Lysine, Methionine, Isoleucine, Valine, Histidine, Threonine, Tryptophan, Alanine, Glycine, Arginine, Proline, Serine, Tyrosine, Sodium Acetate, Dibasic Potassium Phosphate, Magnesium Chloride, Sodium Chloride, Calcium Chloride, Dextrose",CLINIMIX E,INJECTION,1035 mg/100mL,General
amlodipine and valsartan,Amlodipine and Valsartan,TABLET,5 mg/1,General
Weight Management Formula,Slenderiix,LIQUID,12 [hp_X]/mL,General
Pyrithione Zinc,Suave Professionals Men 2 in 1 Classic Clean AntiDandruff,SHAMPOO,1 g/100mL,General
Ultraclear Black plus White Driftwood Antiperspirant Deodorant,Degree,STICK,9.6 g/100g,General
Teens Blue Raspberry 48h Antiperspirant,Dove,STICK,15.2 g/100g,General
Carbinoxamine Maleate,Carbinoxamine Maleate,SOLUTION,4 mg/5mL,General
"Standardized Grass Pollen, Ryegrass","Standardized Grass Pollen, Ryegrass","INJECTION, SOLUTION",100000 [BAU]/mL,General
Salmon Salmo salar,"Food - Fish and Shellfish, Salmon Salmo salar","INJECTION, SOLUTION",.1 g/mL,General
linezolid,Linezolid,"INJECTION, SOLUTION",600 mg/300mL,General
Peppermint SPF 15 Broad Spectrum Lip Balm,Peppermint SPF 15 Broad Spectrum Lip Balm,STICK,.09 g/4.25g,General
Alprazolam,Alprazolam,"TABLET, EXTENDED RELEASE",.5 mg/1,General
"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, CALCIUM CHLORIDE",LACTATED RINGERS,"INJECTION, SOLUTION",20 mg/100mL,General
"Benzocaine, Menthol, Zinc chloride",Giltuss Bucalsep,SPRAY,6.5 mg/100mL,General
"Phenylephrine, Witch Hazel",Hemorroidal Cooling gel,GEL,.25 g/100g,General
TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",100 mg/1,General
doxycycline,doxycycline,CAPSULE,100 mg/1,General
Doxycycline Hyclate,Doxycycline Hyclate,CAPSULE,50 mg/1,General
Chorionic Gonadotropin,Chorionic Gonadotropin,KIT,N/A,General
"Sodium Chloride, Sodium Gluconate, Sodium Acetate, Potassium Chloride, Magnesium Chloride",Plasma-Lyte 148 (pH 7.4),"INJECTION, SOLUTION",30 mg/100mL,General
dexmethylphenidate hydrochloride,Focalin XR,"CAPSULE, EXTENDED RELEASE",25 mg/1,General
Benzalkonium Chloride,Zep FS Antimicrobial Foaming Hand Cleaner,LIQUID,.13 g/100mL,General
Olanzapine,Olanzapine,"TABLET, FILM COATED",2.5 mg/1,General
PREDNISONE,prednisone,TABLET,10 mg/1,General
BENZALKONIUM CHLORIDE,Winco Foods,SOAP,130 mg/100mL,General
Benzocaine,Safco Sensicaine Ultra Topical Anesthetic Gel,GEL,200 mg/g,General
Clotrimazole,Clotrimazole,CREAM,10 mg/g,General
Enalapril Maleate Oral Solution,Enalapril Maleate Oral Solution,SOLUTION,1 mg/mL,General
Baclofen,Baclofen,TABLET,10 mg/1,General
Quetiapine,Quetiapine,"TABLET, FILM COATED",150 mg/1,General
Fexofenadine hydrochloride,Fexofenadine hydrochloride,TABLET,180 mg/1,General
"Abies nig, Antimon crud, Arg nit, Arsenicum alb, Carbo veg, Cinchona, Lycopodium, Nat phos, Nux mosch, Nux vom, Podoph pelt, Robinia",Stomach Saver,TABLET,6 [hp_C]/1,General
Glyburide and Metformin Hydrochloride,Glyburide and Metformin Hydrochloride,"TABLET, FILM COATED",2.5 mg/1,General
"Brompheniramine maleate, Dextromethorphan HBr, Phenylephrine HCl",dimaphen dm,SOLUTION,2 mg/10mL,General
Cetirizine hydrochloride,Cetirizine Hydrochloride,SOLUTION,1 mg/mL,General
levonorgestrel,My Way,TABLET,1.5 mg/1,General
Amoxicillin,Amoxicillin,CAPSULE,250 mg/1,General
Oxaliplatin,Oxaliplatin,"INJECTION, SOLUTION",5 mg/mL,General
Methylprednisolone,Methylprednisolone,TABLET,4 mg/1,General
Propafenone Hydrochloride,Propafenone Hydrochloride,"CAPSULE, EXTENDED RELEASE",325 mg/1,General
vosoritide,VOXZOGO 0.56mg,KIT,N/A,General
Quinapril,Quinapril,TABLET,40 mg/1,General
Fexofenadine Hydrochloride,Fexofenadine Hydrochloride,"TABLET, FILM COATED",180 mg/1,General
Salicylic acid,Walgreens Medicated Corn Removers,PATCH,.54 mg/1,General
"Polymyxin B Sulfate, Neomycin Sulfate, Pramoxine Hydrochloride",Walgreens Multi-Antibiotic with Pain Relief Cream,CREAM,3.5 mg/g,General
"Homosalate, Octocrylene, Octisalate, and Avobenzone",PRISMA PROTECT SPF30,LOTION,3 g/100mL,General
Povidone-Iodine,McKesson PVP Prep Solution,LIQUID,1 mg/10mL,General
propafenone,Propafenone Hydrochloride,"CAPSULE, EXTENDED RELEASE",325 mg/1,General
"Octinoxate, Octisalate, Octocrylene",OrgaPlus Ultra Pure Sun EX 15g,STICK,1.05 g/15g,General
Guaifenesin and Pseudoephedrine Hydrochloride,Guaifenesin D,"TABLET, EXTENDED RELEASE",600 mg/1,General
tirzepatide,Mounjaro,"INJECTION, SOLUTION",25 mg/mL,General
Omeprazole,Omeprazole,"CAPSULE, DELAYED RELEASE",20 mg/1,General
"Homosalate, Octisalate, Zinc Oxide",Always Liquid Foundation Makeup Sunscreen Broad Spectrum SPF 15 - Cocoa,LIQUID,4.25 g/100mL,General
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Sun Bum 50 Premium Moisturizing Sunscreen,LOTION,30 mg/mL,General
Phytonadione,Phytonadione,"INJECTION, EMULSION",10 mg/mL,General
ETRAVIRINE,ETRAVIRINE,TABLET,200 mg/1,General
Amitriptyline Hydrochloride,Amitriptyline Hydrochloride,"TABLET, COATED",25 mg/1,General
Acetaminophen and Phenylephrine HCl,Sinus Headache PEMaximum Strength Non-Drowsy Maximum Strength Non-Drowsy,TABLET,325 mg/1,General
Pregabalin,Pregabalin,CAPSULE,50 mg/1,General
Acetaminophen Dextromethorphan HBr Phenylephrine HCI DoxylamineSucinate,Daytime Nighttime Cold and Flu,KIT,N/A,General
Aluminum Zirconium Tetrachlorohydrex Gly,Secret Delicate Rose Invisible,STICK,15 g/100g,General
Sodium Fluoride,Crest 3D White Stain Eraser Fresh Mint,"PASTE, DENTIFRICE",1.5 mg/g,General
glycopyrrolate,glycopyrrolate,SOLUTION,1 mg/5mL,General
celecoxib,ELYXYB - celecoxib,LIQUID,120 mg/4.8mL,General
LEVETIRACETAM,LEVETIRACETAM,"TABLET, FILM COATED, EXTENDED RELEASE",500 mg/1,General
Folic Acid,Folic Acid,TABLET,1 mg/1,General
buprenorphine hydrochloride,buprenorphine hydrochloride,TABLET,8 mg/1,General
Pseudoephedrine Hydrochloride,nasal decongestant,"TABLET, EXTENDED RELEASE",120 mg/1,General
Zinc Oxide,IMPECCABLE SKIN - IVORY,CREAM,150 mg/g,General
atenolol,Atenolol,TABLET,50 mg/1,General
"Diphenhydramine HCl, Zinc Acetate",Itch Relief,SPRAY,20 mg/mL,General
camphor (synthetic),Leader Vapor Steam camphor (synthetic),LIQUID,.062 g/mL,General
Ethyl Alcohol,"Smart Care 3 HAND SANITIZERS 1.35 FL OZ (CARAMEL HONEY, VANILLA SHEA, PISTACHIO BRULEE)",KIT,N/A,General
"Adrenalinum, Allium Cepa, Arsenicum Iodatum, Cat (Dander), Dog (Dander), Euphrasia Officinalis, Histaminum Hydrochloricum, Sabadilla, Sheep Wool, Silicea",Animal Hair and Dander,LIQUID,6 [hp_X]/mL,General
Cetirizine hydrochloride,Cetirizine hydrochloride,"TABLET, COATED",10 mg/1,General
VALGANCICLOVIR,VALGANCICLOVIR HYDROCHLORIDE,FOR SOLUTION,50 mg/mL,General
FAMOTIDINE,FAMOTIDINE,"POWDER, FOR SUSPENSION",40 mg/5mL,General
OCTINOXATE,Note BB 300 Light Beige,CREAM,6 mg/mL,General
Ciprofloxacin Hydrochloride,Ciprofloxacin Hydrochloride,SOLUTION/ DROPS,3 mg/mL,General
Warfarin,Warfarin Sodium,TABLET,1 mg/1,General
cyclobenzaprine hydrochloride,CYCLOBENZAPRINE HYDROCHLORIDE,"TABLET, FILM COATED",10 mg/1,General
"citronellol, geraniol, linalool",Protecting may morning cushion 21 (refill),POWDER,.03018988 g/100g,General
Heparin Sodium,Heparin Sodium,INJECTION,5000 [USP'U]/mL,General
Buspirone Hydrochloride,Buspirone Hydrochloride,TABLET,5 mg/1,General
Cetirizine Hydrochloride,Cetirizine Hydrochloride,SOLUTION,1 mg/mL,General
Nitisinone,NITYR,TABLET,10 mg/1,General
ketorolac tromethamine,ketorolac tromethamine,"TABLET, FILM COATED",10 mg/1,General
GLYCOPYRROLATE,GLYCOPYRROLATE,TABLET,2 mg/1,General
Erythromycin,Erythromycin,"TABLET, FILM COATED",500 mg/1,General
eltrombopag,ELTROMBOPAG,TABLET,12.5 mg/1,General
Haloperidol,Haloperidol Lactate,"INJECTION, SOLUTION",5 mg/mL,General
diltiazem hydrochloride,TIADYLT ER,"CAPSULE, EXTENDED RELEASE",300 mg/1,General
Menthol 2%,TheraCare Pain Relieving Menthol Gel,GEL,2 g/mL,General
Promethazine Hydrochloride,Promethazine Hydrochloride,INJECTION,50 mg/mL,General
Ezetimibe,Ezetimibe,TABLET,10 mg/1,General
clonidine hydrochloride,clonidine hydrochloride,TABLET,.1 mg/1,General
lubiprostone,Lubiprostone,"CAPSULE, GELATIN COATED",8 ug/1,General
VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",75 mg/1,General
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate,"INJECTION, SOLUTION",4 mg/mL,General
onasemnogene abeparvovec-xioi,Zolgensma,KIT,N/A,General
ANAS BARBARIAE HEPATIS ET CORDIS,Kids Relief,LIQUID,200 [hp_C]/25mL,General
Valsartan and Hydrochlorothiazide,Valsartan and Hydrochlorothiazide,"TABLET, FILM COATED",25 mg/1,General
Ondansetron,Ondansetron,"TABLET, ORALLY DISINTEGRATING",4 mg/1,General
PREGABALIN,PREGABALIN,CAPSULE,225 mg/1,General
Rizatriptan Benzoate,Rizatriptan Benzoate,TABLET,5 mg/1,General
flecainide acetate,Flecainide Acetate,TABLET,100 mg/1,General
Amoxicillin and Clavulanate Potassium,AMOXICILLIN AND CLAVULANATE POTASSIUM,"TABLET, FILM COATED",500 mg/1,General
Terazosin,Terazosin,CAPSULE,2 mg/1,General
propranolol hydrochloride,propranolol hydrochloride,"CAPSULE, EXTENDED RELEASE",80 mg/1,General
lumasiran,OXLUMO,"INJECTION, SOLUTION",94.5 mg/.5mL,General
Lidocaine,AIPATCH NUMBING PAIN RELIEF,PATCH,40 mg/g,General
Doxazosin Mesylate,Doxazosin,TABLET,2 mg/1,General
Lorazepam,Lorazepam,TABLET,.5 mg/1,General
ALLANTOIN,Parma Anus Skin Premium Cleanser,GEL,3 mg/mL,General
Bismuth subsalicylate,Stomach Relief Ultra Strength,LIQUID,525 mg/15mL,General
Lidocaine,Curist Lidocaine Patch Maximum Strength,PATCH,4 g/100g,General
Purified Water,Plus Rinse Emergency Eyewash,LIQUID,99.1 mL/100mL,General
Atorvastatin calcium,Atorvastatin calcium,"TABLET, FILM COATED",40 mg/1,General
esomeprazole magnesium,esomeprazole magnesium,"CAPSULE, DELAYED RELEASE",20 mg/1,General
ESCITALOPRAM,Lexapro,"TABLET, FILM COATED",10 mg/1,General
Methylphenidate Hydrochloride,Methylphenidate Hydrochloride,"TABLET, CHEWABLE",10 mg/1,General
Tretinoin,Tretinoin,CREAM,.25 mg/g,General
Potassium Citrate,POTASSIUM CITRATE,"TABLET, EXTENDED RELEASE",5 meq/1,General
diltiazem hydrochloride,CARTIA XT,"CAPSULE, EXTENDED RELEASE",300 mg/1,General
"ESTERIFIED ESTROGENS, METHYLTESTOSTERONE",ESTERIFIED ESTROGENS AND METHYLTESTOSTERONE,TABLET,1.25 mg/1,General
Cetylpyridinium Chloride,twice. Oral Wellness Gum Shield,RINSE,.5 mg/mL,General
Lubiprostone,Lubiprostone,"CAPSULE, GELATIN COATED",24 ug/1,General
Losartan potassium,Losartan potassium,"TABLET, FILM COATED",50 mg/1,General
Ziprasidone Mesylate,Ziprasidone Mesylate,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",20 mg/mL,General
"acetaminophen, dextromethorphan Hbr, Phenylephrine HCl",Basic Care Daytime Cold and Flu,SOLUTION,325 mg/15mL,General
"homosalate, titanium dioxide, zinc oxide",Ageless Glow Serum BB Cream Sunscreen SPF 40 - Medium,CREAM,9.5 g/100mL,General
Benzalkonium Chloride 0.13%,SAN Skinlab Cloth Wet Wipes,CLOTH,.13 mg/100mL,General
Phenobarbital,Phenobarbital,TABLET,15 mg/1,General
"Aspirin, Caffeine",Blowfish,"TABLET, EFFERVESCENT",500 mg/1,General
TITANIUM DIOXIDE,Boscia All In One B.B. Eye Brightener Broad Spectrum SPF 20,CREAM,6.45 g/100g,General
Diclofenac sodium,Diclofenac Sodium,GEL,10 mg/g,General
Abacavir,Abacavir,TABLET,300 mg/1,General
gabapentin,GABAPENTIN,CAPSULE,100 mg/1,General
Nitrofurantoin,Nitrofurantoin,CAPSULE,25 mg/1,General
Colloidal Oatmeal,MATYS Baby ECZEMA RELIEF,OINTMENT,.1 g/100g,General
Midodrine Hydrochloride,Midodrine Hydrochloride,TABLET,5 mg/1,General
"Dry Ginger, Glycyrrhiza, Peony Root",HAN SHIN GAMKONAL Extract Granules,GRANULE,1.9 g/3.5g,General
Camphor and Menthol,CBDMEDIC Arthritis Aches and Pain Relief,OINTMENT,100 mg/g,General
"Mineral Oil, Petrolatum, Phenylephrine HCI",Hemorrhoidal,OINTMENT,14 g/100g,General
Acetaminophen,Rugby Childrens Acetaminophen,SUSPENSION,160 mg/5mL,General
Lidocaine 5%,Lidocaine Numbing Cream,CREAM,5 g/100mL,General
"OCTISALATE, OCTOCRYLENE, AVOBENZONE",NAELI Day Moisturizer SPF 30,LOTION,30 mg/mL,General
Diflunisal,Dolobid,"TABLET, FILM COATED",250 mg/1,General
Ezetimibe,Ezetimibe,TABLET,10 mg/1,General
"ZINC OXIDE, TITANIUM DIOXIDE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Hydrating Camo CC Cream SPF30 Tan 425 N,CREAM,50 mg/g,General
ZINC OXIDE 18.2%,Coola Bare Republic Mineral Face Gel-Lotion SPF 30,LOTION,18.2 g/100mL,General
"Acetaminophen, Ibuprofen",equate dual pain reliever,"TABLET, FILM COATED",250 mg/1,General
Erythromycin Ethylsuccinate,E.E.S 400,TABLET,400 mg/1,General
"Salicylic acid, Wart Remover",Biopure Medicated Wart Remover Strips,PLASTER,.4 g/g,General
ibuprofen,CHILDRENS IBUPROFEN,"TABLET, CHEWABLE",100 mg/1,General
SPF 50,Sunscreen and insect repellent Bull frog,SOLUTION,30 mg/g,General
Fluocinonide,Fluocinonide,CREAM,1 mg/g,General
Cyclobenzaprine hydrochloride,Cyclobenzaprine hydrochloride,"TABLET, FILM COATED",7.5 mg/1,General
CAUSTICUM,CAUSTICUM 200ck,PELLET,200 [hp_C]/1,General
"Acetaminophen, Dextromethorphan HBr, Phenylephrine Hydrochloride",Theraflu Severe Cold Relief Daytime Berry Burst,POWDER,650 mg/1,General
olodaterol respimat inhalation spray,Striverdi Respimat,"SPRAY, METERED",2.5 ug/1,General
"Acetaminophen, Doxylamine Succinate, Dextromethorphan HBr",Multi-Symptom Nighttime Cold and Flu Relief,"CAPSULE, LIQUID FILLED",325 mg/1,General
ALCOHOL,B Pure Moisturizing Hand Sanitizer Sandstone Mist Scented,LIQUID,70 mL/100mL,General
Metoprolol Tartrate,Metoprolol Tartrate,"TABLET, FILM COATED",50 mg/1,General
Glipizide,Glipizide,"TABLET, EXTENDED RELEASE",10 mg/1,General
NICOTINE POLACRILEX MINI,NICOTINE,LOZENGE,2 mg/1,General
"Acid sulph, Apis mell, Arnica mont, Calendula off, Hamamelis, Iodium, Lycopodium, Silicea",Bestmade Natural Products BM146,LIQUID,30 [hp_C]/30[hp_C],General
"AVOBENZONE, Homosalate OCTISALATE,",BROAD SPECTRUM SPF50 SPF 50,GEL,3 g/100mL,General
ZINC OXIDE,Wotnot Naturals Natural Zinc Sunscreen SPF 30,LOTION,250 mg/g,General
TRIENTINE TETRAHYDROCHLORIDE,CUVRIOR,"TABLET, FILM COATED",300 mg/1,General
Emtricitabine and Tenofovir Disoproxil Fumarate,Emtricitabine and Tenofovir Disoproxil Fumarate,"TABLET, FILM COATED",200 mg/1,General
Methyl Salicylate,Methyl Salicylate 25% Cream,CREAM,250 mg/mL,General
Calamine and Pramoxine Hydrochloride,Humco Calagesic,LOTION,10 mg/mL,General
Yuzu Mint Toothpaste Tablets,Tidalove,"TABLET, CHEWABLE",.32 mg/1,General
buprenorphine hydrochloride and naloxone hydrochloride,Zubsolv,"TABLET, ORALLY DISINTEGRATING",5.7 mg/1,General
levothyroxine sodium,Levothyroxine Sodium,CAPSULE,88 ug/1,General
Lac Caninum,Bestmade Natural Products Lac Caninum,"TABLET, SOLUBLE",30 [hp_C]/30[hp_C],General
PRAMOXINE HYDROCHLORIDE,Terramed Just Think Comfort GynoCare BV Guard Intimate Wipes,CLOTH,1 g/100mL,General
"Medulla Ossis Suis, Spleen (Bovine), Thymus (Ovine), Carcinosin, Cytomegalovirus Nosode, Influenzinum (2022-2023), Streptococcus Viridans, Toxoplasma Gondii, Epstein-Bar Virus Nosode",Fatigue Formula,SPRAY,6 [hp_X]/mL,General
Naftifine Hydrochloride,Naftin,GEL,2 g/100g,General
Carboprost Tromethamine,Carboprost Tromethamine,"INJECTION, SOLUTION",250 ug/mL,General
Advanced Hand Sanitizer with Aloe,Advanced Hand Sanitizer with Aloe,GEL,70 mL/100mL,General
dacomitinib,Vizimpro,"TABLET, FILM COATED",15 mg/1,General
Diazepam,Diazepam,INJECTION,5 mg/mL,General
"Sulphur, Curcuma Longa",Dermveda JOCK ITCH,SOLUTION,10 [hp_X]/60mL,General
ZINC OXIDE,Dolce and Gabbana Blueberry Nutri Tint SPF 20 3W Light,EMULSION,67 mg/mL,General
Aluminum chlorohydrate,Old Spice Pure Sport High Endurance Dry,"AEROSOL, SPRAY",24.5 g/100g,General
Bumetanide,Bumetanide,INJECTION,.25 mg/mL,General
